Question number,Answer,Question,Option A,Option B,Option C,Figures Number ,Explanation,Study Unit
4074,A,What is an air mass?,A large body of air that takes on the characteristics of the surrounding area or source region,All of the air associated with a pressure system,All of the air associated with a front,,"An air mass is a large body of air that takes on the characteristics of the surrounding area, or source region.",4b
4075,A,How are air masses classified?,By their region of origin,By their pressure,By their temperature,,Air masses are classified according to their region of origin,4b
4076,A,How do air masses form?,"By staying in a region of stagnation for a period of days or longer, during which time it takes on the temperature and moisture characteristics of the source region.","By being gathered by inward air flow to a low pressure region, where it takes on the characteristics of the source region.","By moving along with a front, gathering characteristics of the land it flows over.",,"Air masses form in a source region where the air remains relatively stagnant for a period of days or longer. During this time of stagnation, the air mass takes on the temperature and moisture characteristics of the source region. ",4b
4077,A,Where are source regions for air masses found?,"An area of relatively stagnant air, such as in the polar regions, tropical oceans, or deserts.",Wherever there is an area of low pressure,In valleys and planes where air is subjected to large circulation patterns,,"Areas of stagnation can be found in polar regions, tropical oceans, and dry deserts. ",4b
4078,C ,The boundary between two different air masses is referred to as a,frontogenesis.,frontolysis.,front.,,The definition of a front is simply the boundary between two air masses.,4b
4079,B ,One of the most easily recognized discontinuities across a front is,an increase in cloud coverage.,a change in temperature.,an increase in relative humidity.,,Temperature change is the most significant change when passing across a front.,4b
4080,C ,One weather phenomenon which will always occur when flying across a front is a change in the,stability of the air mass.,type of precipitation.,wind direction.,,Wind always changes in speed or direction across a front.,4b
5001,C ,(Refer to figure 12.) The remarks section for KMDW has RAB35 listed. This entry means,blowing mist has reduced the visibility to 1-1/2 SM.,"the barometer has risen .35"" Hg.",rain began at 1835Z.,12,"RAB35 means rain began at 35 min, past the hour.",5
5002,A ,(Refer to figure 12.) What are the current conditions depicted for Chicago Midway Airport (KMDW)?,"Sky 700 feet overcast, visibility 1-1/2SM, rain.","Sky 700 feet overcast, visibility 11, occasionally 2SM, with rain.","Sky 7000 feet overcast, visibility 1-1/2SM, heavy rain.",12,"OVC007 means overcast cloud at 700 feet, ""1 1/2 SM"" means visibility is 1 1/2 statue miles, ""RA"" means rain.",5
5003,C ,(Refer to figure 15.) What is the valid period for the TAF for KMEM?,1200Z to 1800Z.,1200Z to 1200Z the next day.,1800Z to 1800Z the next day.,15,The second set of numbers in a TAF are the date and time the TAF is valid for.  In this example KMEM the valid time is 121818 meaning that on the 12th of that month the TAF is valid from 1800Z to 1800Z the next day. A is incorrect because 12 refers to the date not the time the TAF is valid.  B is incorrect because the TAF is valid from 1800Z to 1800Z on the 12th day of the month not from 1200Z to 1200Z.,5
5004,C ,"(Refer to figure 15.) In the TAF for KMEM, what does ""SHRA"" stand for",A significant change in precipitation is possible.,A shift in wind direction is expected.,Rain showers.,15,RA stands for rain and the SH modifier before the RA means rain showers.  A is incorrect because SHRA does not mean a change is expected.  It only referes to the preciptation for the valid time of the report.  B is incorrect because SHRA does not deal with wind as it only defines rain showers.,5
5005,A ,(Refer to figure 15.) Between 1000Z and 1200Z the visibility at KMEM is forecast to be,3 statute miles.,1/2 statute mile.,6 statute miles.,15,The TAF reports that from the time 1000z to 1200z (BECMG 1012) the visibility should be 3 statue miles (3SM).  B is incorrect because 1/2 statue miles visibility is expected after 1200z.  C is incorrect because the second line from the bottom of KMEM TAF states that from 1000z to 1200z the visibility will be 3 statues miles.,5
5006,C ,(Refer to figure 15.) What is the forecast wind for KMEM from 1600Z until the end of the forecast?,No significant wind.,020 degrees at 8 knots.,Variable in direction at 6 knots.,15,The last line of the TAF for KMEM states that from 1600z (FM 1600) the winds will be variable at 6 knots (VRB06KT).  A is incorrect because there will be wind at this time according to the TAF. B is incorrect because there is no direction given with the wind as it will be variable.,5
5007,B ,"(Refer to figure 15.) In the TAF from KOKC, the ""FM (FROM) Group"" is","forecast for the hours from 1600Z to 2200Z with the wind from 160 degrees at 10 knots, becoming 210 degrees at 15 knots.",forecast for the hours from 1600Z to 2200Z with the wind from 180 degrees at 10 knots.,"forecast for the hours from 1600Z to 2200Z with the wind from 160 degrees at 10 knots, becoming 220 degrees at 13 knots with gusts to 20 knots.",15,"BECMG2224 means from 2200Z to 2400Z, so the ""FM"" group before that is valid from 1600Z to 2200Z, saying that the wind is from 180 at 10 knots. A is incorrect because the FM group does not say the winds will be from 160 but rather 180.  C is incorrect because the winds in between 2200Z and 2400Z are from 200 not 220.",5
5008,A ,"(Refer to figure 15.) In the TAF from KOKC, the clear sky becomes","overcast at 2,000 feet during the forecast period between 2200Z and 2400Z.",overcast at 200 feet with the probability of becoming overcast at 400 feet during the forecast period between 2200Z and 2400Z.,overcast at 200 feet with a 40% probability of becoming overcast at 600 feet during the forecast period between 2200Z and 2400Z.,15,"The second line of the TAF for OKOC states that skys will be clear (SKC) from 1600Z until 2200Z at which point the sky conditions become overcast at 2,000 feet (OVC020). B is incorrect because  OVC020 means overcast layer at 2,000 feet MSL. C is incorrect because TAFs do not give a specific probility of a condition occuring.",5
5009,C ,"(Refer to figure 15.) During the time period from 0600Z to 0800Z, what significant weather is forecast for KOKC?","Visibility - possibly 6 statute miles with scattered clouds at 4,000 feet.",Wind - 210 degrees at 15 knots.,No significant weather is forecast for this time period.,15,There is no significant weather in this period. A is incorrect because plus 6 miles of visibility is not considered significant weather.  B is incorrect because 15 knots of wind is not considered significat weather.,5
5010,B ,(Refer to figure 15.) The only cloud type forecast in TAF reports is,Scattered cumulus.,Cumulonimbus.,Nimbostratus.,15,Cumulonimbus clouds (CB) are the only cloud type forecast in TAFs as these are storm clouds and could greatly affect flight planning to that airport. ,5
5011,A ,(Refer to figure 16.) What is the forecast ceiling and visibility for Southern Indiana from 0800Z through 1400Z?,"3,000 feet or greater, and 5 miles or greater.","500 feet to less than 1,000 feet, and 1 mile to less than 3 miles.","1,000 to 3,000 feet, and 3 to 5 miles.",16,"As shown under ""CHIC FA 241945"", the Area Forecast shows that the significant cloud and weather are valid until 0800Z and the outlook is valid from 0800Z to 1400Z. In this figure, weather outlook for Southern Indiana (IN) shows ""VFR"", which by definition has a ceiling more than 3,000 feet and visibility more than 5 miles.",5
5012,A ,(Refer to figure 16.) What sky conditon and visibility are forecast for upper Michigan in the eastern portions after 2300Z?,"Ceiling 1,000 feet overcast and 3 to 5 statute miles visibility.","Ceiling 1,000 feet overcast and 3 to 5 nautical miles visibility.",Ceiling 100 feet overcast and 3 to 5 statute miles visibility.,16,"As shown under ""CHIC FA 241945"", 4 paragraphs down under ""UPR MI LS"", the Area Forecast for the ""ERN PTNS..."" (Eastern Portions of Upper Michigan and Lake Superior) from 2300Z (23Z) the ceiling (CIG) is overcast at 1000ft (OVC010) with visibility (VIS) 3 to 5 statute miles (3-5SM).",5
5013,B,(Refer to figure 16.) The Chicago FA forecast section is valid until the twenty-fifth at,1945Z.,1400Z.,0800Z.,16,"As shown under ""CHIC FA 241945"", the Area Forecast shows that the significant cloud and weather are valid until 0800Z and the outlook is valid from 0800Z to 1400Z. ",5
5014,C ,(Refer to figure 16.) What sky condition and type obstructions to vision are forecast for upper Michigan in the western portions from 0200Z until 0500Z?,"Ceiling becoming 1,000 feet overcast with visibility 3 to 5 nautical miles in mist.",Ceiling becoming 100 feet overcast with visibility 3 to 5 statue miles in mist.,"Ceiling becoming 1,000 feet overcast with visibility 3 to 5 statute miles in mist.",16,"As shown under ""CHIC FA 241945"", 4 paragraphs down under ""UPR MI LS"", the Area Forecast for the ""WRN PTNS..."" (Western Portions of Upper Michigan and Lake Superior) from 0200Z until 0500Z (02-05Z) the weather is becoming (BECMG) ceiling (CIG) overcast at 1000ft (OVC010) with visibility (VIS) 3 to 5 statute miles (3-5SM) and mist (BR).",5
5015,C ,What is indicated when a current CONVECTIVE SIGMET forecasts thunderstorms?,Moderate thunderstorms covering 30 percent of the area.,Moderate or severe turbulence.,Thunderstorms obscured by massive cloud layers.,,"Convective SIGMETs forecasts ""thunderstorm areas greater than or equal to thunderstorm intensity level 4 with an area coverage of 40% or more"".",5
5016,B ,What information is contained in a CONVECTIVE SIGMET?,Surface winds greater than 40 knots or thunderstorms equal to or greater than video integrator processor (VIP) level 4.,"Tornadoes, embedded thunderstorms, and hail 3/4 inch or greater in diameter.","Severe icing, severe turbulence, or widespread dust storms lowering visibility to less than 3 miles.",,"Convective SIGMETs contains: tornadoes, lines of thunderstorms, embedded thunderstorms, thunderstorm areas greater than or equal to thunderstorm intensity level 4 with an area coverage of 40% or more, and hail greater than or equal to 3/4 in diameter.",5
5017,B ,SIGMETs are issued as a warning of weather conditions hazardous to which aircraft?,Large aircraft only.,All aircraft.,Small aircraft only.,,SIGMETs are for all aircraft.  AIRMETs are generally only for smaller and lighter aircraft.,5
5018,A ,AIRMETs are issued as a warning of weather conditions particularly hazardous to which aircraft?,Small single-engine aircraft.,All aircraft.,Large multiengine aircraft.,,"AIRMET advisories generally only apply to lighter, smaller aircraft. SIGMETs is for all aircrafts.",5
5019,A ,"(Refer to figure 17.) What wind is forecast for STL at 6,000 feet?",230 degrees true at 25 knots.,210 degrees magnetic at 13 knots.,232 degrees true at 5 knots.,17,At 6000 feet for STL the weather reads 2325+07 which means the wind is from 230 true at 25 knots and the temperature is 7 degrees Celcisus. ,5
5020,C ,"(Refer to figure 17.) What wind is forecast for STL at 18,000 feet?","235 degrees magnetic at 06, peak gusts to 16 knots.",235 degrees true at 06 knots.,230 degrees true at 56 knots.,17,"The first two numbers (23) of a winds aloft forecast indicate the true direction (230 degrees) from which wind is blown, while the preceding two digits (56) indicate the wind speed in knots (56 knots).",5
5021,A ,"(Refer to figure 17.) Determine the wind and temperature aloft forecast for DEN at 30,000 feet.","230 degrees true at 53 knots, temperature -47 degrees C.","235 degrees true at 34 knots, temperature -7 degrees C.","023 degrees magnetic at 53 knots, temperature 47 degrees C.",17,"The first two numbers (23) of a winds aloft forecast indicate the true direction (230 degrees) from which the wind is blown, while the preceding two digits (53) indicate the wind speed in knots (53 knots).",5
5022,A ,"(Refer to figure 17.) Determine the wind and temperature aloft forecast for 3,000 feet at MKC.","050 degrees true at 7 knots, temperature missing.","360 degrees magnetic at 5 knots, temperature -7 degrees C.","360 degrees true at 50 knots, temperature +7 degrees C.",17,"The first two numbers (05) of a winds aloft forecast indicate the true direction (050 degrees) from which the wind is blown, while the preceding two digits (07) indicate the wind speed in knots (07 knots). The fifth and sixth digits indicate the temperature but are missing.",5
5023,B ,"(Refer to figure 17.) What wind is forecast for STL at 34,000 feet?",073 degrees true at 6 knots.,230 degrees true at 106 knots.,007 degrees magnetic at 30 knots.,17,"The wind speed forecast is greater than 100 knots but less than 199 knots, therefore the computer adds 50 to the direction and subtracts 100 from the speed. Subtracting 50 from 73 and adding 100 to 06 gives a true heading of 23 (230 degrees) and a wind speed of 106 knots. The 49 indicates a temperature of -49 degrees C.",5
5024,A ,Automatic Terminal Information Service (ATIS) is the continuous broadcast of recorded information concerning,noncontrol information in selected high-activity terminal areas.,nonessential information to reduce frequency congestion.,pilots of radar-identified aircraft whose aircraft is in dangerous proximity to terrain or to an obstruction.,,ATIS is the continuous broadcast of recorded noncontrol information in selected high activity terminal areas.,5
5025,C,What are four types of weather observations?,"Surface, low level, mid level, high level","METARs, AIRMETs, SIGMETs, TAFs","Surface, upper air, radar, satellite",,"The four types of observations are surface, upper air, radar, and satellite.",5
5026,C,What is the coverage area of a METAR?,Three mile radius from the reporting station,Ten mile radius from the reporting station,Five mile radius from the reporting station,,A METAR is a surface observation that provides local weather conditions and other relevant information for a radius of five miles from a specific airport.,5
5027,C,Which information is NOT included in a METAR?,Temperature/dew point,Visibility,Cloud forecast,,"The information in a METAR includes the type of report, station identifier, date and time, modifier (as required), wind, visibility, runway visual range (RVR), weather phenomena, sky condition, temperature/dew point, altimeter reading, and applicable remarks. METARs are observations, no forecast information is included in a METAR.",5
5028,A,What are SIGMETs?,Weather advisories concerning the safety of all aircraft,Weather advisories concerning the safety of small aircraft,Weather advisories providing information on extensive mountain obscuration,,"SIGMETs are weather advisories issued concerning weather significant to the safety of all aircraft. SIGMET advisories can cover an area of at least 3,000 square miles and provide data regarding severe and extreme turbulence, severe icing, and widespread dust or sandstorms that reduce visibility to less than three miles.",5
5029,A,Which condition would be issued in an AIRMET?,Sustained winds of 30 knots or more at the surface,Widespread sandstorms that reduce visibility to less than three miles,Extreme turbulence,,"AIRMETs are weather advisories issued only to amend the area forecast concerning weather phenomena which are of operational interest to all aircrafts. AIRMETs concern weather of less severity than that covered by SIGMETs or convective SIGMETs. AIRMETs cover moderate icing, moderate turbulence, sustained winds of 30 knots or more at the surface, widespread areas of ceilings less than 1,000 feet and/or visibility less than three miles, and extensive mountain obscuration.  ",5
5030,B,What does the wind observation 14021G26 in a METAR mean?,"Wind from 14 degrees at 21 knots, gusts 26 knots","Wind from 140 degrees at 21 knots, gusts 26 knots","Wind from 210 degrees at 14 knots, gusts 26 knots",,"The first three digits of the wind report indicate the direction the wind. In this example, that is 140 degrees. The next two digits indicate wind speed, which is 21 knots. The G indicates gusting winds, and the following two characters show the speed of the gusts: 26 knots.",5
5031,B,What unit do METARs report visibility in?,Nautical Miles,Statute Miles,Kilometers,,"Visibility in METARs is reported in statute miles, as indicated by the SM after the visibility value. For example, 10SM.",5
5032,B,"In a METAR, what does OVC012CB mean?","Overcast cloud layer at 1200 feet MSL, cumulus type","Overcast cloud layer at 1200 feet AGL, cumulonimbus type","Overcast cloud layer at 120 feet MSL, cumulonimbus type",,"OVC indicates the thickness of the cloud layer as overcast. Next, the height of the clouds above ground level (AGL) is given in 100s of feet.  012 = 1200 ft AGL. CB indicates cumulonimbus type clouds.",5
5033,B,What does the METAR temperature observation M11/M17 mean?,"Temperature 11F, dew point 17F","Temperature -11C, dew point -17C","Temperature 11C, dew point 17C",,"The M before a temperature in a METAR indicates a negative value. The first number indicates outside temperature, and the number after the slash indicates dew point. In this example, the temperature is -11C and the dew point is -17C. Temperatures are always reported in Celsius.",5
5034,C,What is the valid period of a TAF?,12 hours,6 hours,30 hours,,TAFs are usually valid for a 30 hour or 24 hour period.,5
5035,C,"In a TAF, what does the visibility forecast P6SM mean?",6 nautical miles,Greater than 6 nautical miles,Greater than 6 statute miles,,"In a TAF, if the visibility is greater than six miles, it will be coded as P6SM.",5
5036,A,(Refer to Figure 12.) The wind direction and velocity at KJFK is from,180 degrees true at 4 knots.,180 degrees magnetic at 4 knots.,040 degrees true at 18 knots.,12,,5
5037,A,(Refer to Figure 12.) What are the current conditions for Chicago Midway Airport (KMDW)?,"Sky 700 feet overcast, visibility 1-1/2SM, rain.","Sky 7000 feet overcast, visibility 1-1/2SM, heavy rain.","Sky 700 feet overcast, visibility 11, occasionally 2SM, with rain.",12,,5
6001,A,"Due to the automated nature of unmanned aircraft, there are glitches and errors that will arise. What is a way to prepare and eliminate risks involved with automation:",Being aware of the limitations of automation,Review emergency procedures in operations,Contact the ATC,,The best way to eliminate risks is by advoiding them in the first place. Being aware of the limitations of your drone and knowing what risks not to take is the best way to do so. Reviewing the emergency procedures and contacting the ATC are not preventive measures.,6
6002,A,Approximately what percentage of aviation accidents are related to human factors?,80%,60%,95%,,It is estimated that approximately 80 percent of all aviation accidents are related to human factors and the vast majority of these accidents occur during landing (24.1 percent) and takeoff (23.4 percent).,6
6003,A,What is the first step of redirecting a hazardous attitude?,Recognizing the thought as hazardous,Stating the corresponding antidote,Determining which hazardous attitude it reveals,,"Recognition of hazardous thoughts is the first step toward neutralizing them. After recognizing a thought as hazardous, the pilot should label it as hazardous, then state the corresponding antidote. Antidotes should be memorized for each of the hazardous attitudes so they automatically come to mind when needed.",6
6004,A,How does stress from life outside of flying affect piloting?,Stress causes concentration and performance problems which may be detrimental to flight.,A pilot should be able to separate life from flying to mitigate the risks of stress.,Stress is considered a medical condition which requires grounding.,,"Stress causes concentration and performance problems. While the regulations list medical conditions that require grounding, stress is not among them. The pilot should consider the effects of stress on performance. ",6
6005,A,What does the A stand for in the PAVE checklist?,Aircraft,Aviation,Aeromedical Factors,,"A stands for Aircraft. Pilot in command, Aircraft, enVironment, and External pressures make up the PAVE checklist.",6
6006,B,What is the first step in the DECIDE model for aeronautical decision making?,Do the necessary actions,Detect the problem,Choose a course of action,,Problem detection is the first step in the decision-making process. It begins with recognizing a change occurred or an expected change did not occur. A problem is perceived first by the senses and then it is distinguished through insight and experience. ,6
6007,B,What is the last step in the DECIDE model for aeronautical decision making?,Estimate the need to react,Evaluate the effect of the action,Identify the solution,,"The final step in the DECIDE model is to evaluate the decision to see if it was correct. If the action taken does not provide the desired results, the process may have to be repeated.",6
6008,B,What is situational awareness?,Knowing precisely where the aircraft is in space at all times,The accurate perception and understanding of all the factors and conditions that affect safety of flight,Being aware of current and future necessary tasks,,"Situational awareness is the accurate perception and understanding of all the factors and conditions within the five fundamental risk elements (flight, pilot, aircraft, environment, and type of operation that comprise any given aviation situation) that affect safety before, during, and after the flight. ",6
6009,C,What stage of flight has the highest risk of accident?,Takeoff,Cruise,Landing,,Landing is the phase of flight in which the largest number of GA accidents take place.,6
6010,C,What is the largest risk of using autopilot?,Using autopilot is considered the absolute safest way to fly,Autopilot malfunction,Over-reliance on the autopilot,,A large risk of autopilot use is the development of reliance on the system which leads to a deterioration of stick and rudder skills.,6
6011,C,What is the first step to mastering the use of advanced avionics?,Memorize the manual,Trial and error attempts to program your desired route,Understanding the system on a conceptual level,,The first critical information management skill for flying with advanced avionics is to understand the system at a conceptual level. Remembering how the system is organized helps the pilot manage the available information. ,6
6012,C,Identify the hazardous attitude or characteristic a remote pilot displays while taking risks in order to impress others?,Impulsivity.,Invulnerability.,Macho.,,,6
6013,C,"Safety is an important element for a remote pilot to consider prior to operating an unmanned aircraft system. To prevent the final ""link"" in the accident chain, a remote pilot must consider which methodology?",Crew Resource Management.,Safety Management System.,Risk Management.,,,6
6014,B,"When adapting crew resource management (CRM) concepts to the operation of a small UA, CRM must be integrated into",the flight portion only.,all phases of the operation.,the communications only.,,,6
6015,C,"You have been hired as a remote pilot by a local TV news station to film breaking news with a small UAS. You expressed a safety concern, and the station manager has instructed you to ""fly first, ask questions later."" What type of hazardous attitude does this attitude represent?",Machismo.,Invulnerability.,Impulsivity.,,,6
6016,C,A local TV station has hired a remote pilot to operate their small UA to cover breaking news stories. The remote pilot has had multiple near misses with obstacles on the ground and two small UAS accidents. What would be a solution for the news station to improve their operating safety culture?,The news station should implement a policy of no more than five crashes/incidents within 6 months.,The news station does not need to make any changes; there are times that an accident is unavoidable.,The news station should recognize hazardous attitudes and situations and develop standard operating procedures that emphasize safety.,,,6
6017,A,Who is responsible for ensuring that there are enough crewmembers for a given sUAS operation?,Remote pilot-in-command.,Visual observer.,Person manipulating the controls,,,6
6018,C,"The effective use of all available resources (human, hardware, and information) prior to and during flight to ensure the successful outcome of the operation is called",Safety management system,Risk Management,Crew Resource Management,,"CRM is a component of ADM, where the pilot of sUAS makes effective use of all available resources: human resources, hardware, and information.",6
6019,B,How is effective traffic scanning accomplished?,"Smoothly scanning the sky from left to right, as if reading.","A series of short, regularly spaced eye movements that bring successive areas of the sky into the central visual field. ",Focusing on one spot and allowing peripheral vision to detect movement.,,"Effective scanning is accomplished with a series of short, regularly spaced eye movements that bring successive areas of the sky into the central visual field. Each movement should not exceed 10 degrees, and each should be observed for at least 1 second to enable detection.",6
6020,C,Who is responsible for proper preflight planning?,The operator of the UAS,The person operating the controls,The remote PIC.,,The remote pilot in command is responsible for proper planning and the execution of that planning to ensure a safe flight.,6
6021,C ,The most effective method of scanning for other aircraft for collision avoidance during daylight hours is to use,"regularly spaced concentration on the 3-, 9-, and 12-o'clock positions.",peripheral vision by scanning small sectors and utilizing offcenter viewing.,"a series of short, regularly spaced eye movements to search each 10-degree sector.",,"The eyes can only focus on a narrow viewing area, so systematically concentrating on sections of the sky for short intervals allows for effective scanning.",6
6022,B ,Which technique should a pilot use to scan for traffic to the right and left during straight-and-level flight?,Continuous sweeping of the windshield from right to left.,Systematically focus on different segments of the sky for short intervals.,Concentrate on relative movement detected in the peripheral vision area.,,"The eyes can only focus on a narrow viewing area, so systematically concentrating on sections of the sky for short intervals allows for effective scanning.",6
6023,B ,How can you determine if another aircraft is on a collision course with your aircraft?,The other aircraft will always appear to get larger and closer at a rapid rate.,There will be no apparent relative motion between your aircraft and the other aircraft.,The nose of each aircraft is pointed at the same point in space.,,"If another aircraft has no apparent relative motion, it is likely on a collision course with you.  ",6
6024,B,Invulnerability is defined as a hazardous attitude that can affect the judgement of an RPIC. Invulnerability is:,Disregarding the rules because they don't like others telling them what to do,Taking chances because they think that an accident won't happen to them.,Taking unnecessary risks because they try to prove they are better than everyone else.,,"Of the hazardous attitudes pilots can exhibit, invulnerability is the belief that a pilot can overcome any obstacle because nothing will be able to stop them or harm them. A and C refer to anti-authority and macho attitudes, respectively. ",6
7001,C,How many hours must pass after drinking alcohol for it to be legal to pilot a Remote airplane?,However long it takes for blood alcohol content to go below 0.04 percent,4 hours,8 hours,,"14 CFR part 91 requires that blood alcohol level be less than .04 percent and that 8 hours pass between drinking alcohol and piloting an airplane. A pilot with a blood alcohol level of .04 percent or greater after 8 hours cannot _y until the blood alcohol falls below that amount. Even though blood alcohol may be well below .04 percent, a pilot cannot _y sooner than 8 hours after drinking alcohol. Although the regulations are quite speci_c, it is a good idea to be more conservative than the regulations.",7
7002,C,Which is true regarding the presence of alcohol within the human body?,A small amount of alcohol increases vision acuity.,Consuming an equal amount of water will increase the destruction of alcohol and alleviate a hangover.,Judgment and decision-making abilities can be adversely affected by even small amounts of alcohol.,,,7
7003,B,"You are a remote pilot for a co-op energy service provider. You are to use your UA to inspect power lines in a remote area 15 hours away from your home office. After the drive, fatigue impacts your abilities to complete your assignment on time. Fatigue can be recognized",easily by an experienced pilot.,as being in an impaired state.,by an ability to overcome sleep deprivation.,,,7
7004,A,Which technique should a remote pilot use to scan for traffic? A remote pilot should,systematically focus on different segments of the sky for short intervals.,concentrate on relative movement detected in the peripheral vision area.,continuously scan the sky from right to left.,,,7
7005,B,What is the maximum BAC any UAS crewmember may have?,0.00%,0.04%,0.08%,,Part 107 prohibits a person from serving as any sUAS crewmember if he or she has a blood alcohol concentration of .04% or greater.,7
7006,A,"The remote PIC has not consumed any alcohol in the previous 8 hours, but a visual observer has. Can the flight proceed as planned?",No,Yes,"Yes, but only if the visual observer has less than .04% BAC",,Part 107 prohibits a person from serving as any sUAS crewmember if he or she consumed any alcoholic beverage within the preceding 8 hours.,7
7007,A,Who holds the responsibility to ensure all crewmembers who are participating in the operation are not impaired by drugs or alcohol?,Remote Pilot in Command,Contractor,FAA Inspector,,,7
7008,A,Hyperventilation can result in,Lightheadedness,Decreased oxygen content,Nausea,,"The major symptoms of hyperventilation include: visual impairment, unconsciousness, lightheadedness, dizziness, tingling sensations, hot and cold flashes, and muscle spasms.",7
8001,B ,When must a current pilot certificate be in the pilot's personal possession or readily accessible in the aircraft?,Only when passengers are carried.,Anytime when acting as pilot in command or as a required crewmember.,When acting as a crew chief during launch and recovery.,,See FAR 63.1. A and C are incorrect because they do not comply with FAR 63.1.,0
8002,C ,"Each person who holds a pilot certificate or a medical certificate shall present it for inspection upon the request of the Administrator, the National Transportation Safety Board, or any",person in a position of authority.,authorized representative of the Department of Transportation.,"federal, state, or local law enforcement officer.",,See FAR 63.1 (L). A and B are incorrect because they are not in compliance with FAR 63.1 (L).,0
8003,C,Which Federal Aviation Regulation (FAR) pertains small UAS?,FAR Part 61,FAR Part 91,FAR Part 107,,FAR 107 pertains to the certification and operations of small UAS,0
8004,C,"When using a small UA in a commercial operation, who is responsible for briefing the participants about emergency procedures?",The FAA inspector-in-charge.,The lead visual observer.,The remote PIC.,,,0
8005,C,"To avoid a possible collision with a manned airplane, you estimate that your small UA climbed to an altitude greater than 600 feet AGL. To whom must you report the deviation?",Air Traffic Control.,The National Transportation Safety Board.,Upon request of the Federal Aviation Administration.,,,0
8006,A,Under what condition should the operator of a small UA establish scheduled maintenance protocol?,When the manufacturer does not provide a maintenance schedule.,UAS does not need a required maintenance schedule.,"When the FAA requires you to, following an accident.",,,0
8007,A,"According to 14 CFR part 107, the responsibility to inspect the small UAS to ensure it is in a safe operating condition rests with the",remote pilot-in-command.,visual observer.,owner of the small UAS.,,,0
8008,C,Under what condition would a small UAS not have to be registered before it is operated in the United States?,"When the aircraft weighs less than .55 pounds on takeoff, including everything that is on-board or attached to the aircraft.","When the aircraft has a takeoff weight that is more than .55 pounds, but less than 55 pounds, not including fuel and necessary attachments.","All small UAS must be registered regardless of the weight of the aircraft before, during, or after the flight.",,"All sUAS must be registered in the US, including those used for recreational purposes.",0
8009,A,"According to 14 CFR part 48, when must a person register a small UA with the Federal Aviation Administration?",All civilian small UAS must be registered regardless of its intended use.,When the small UAS is used for any purpose other than as a model aircraft.,Only when the operator will be paid for commercial services.,,"All sUAS must be registered in the US, including those used for recreational purposes.",0
8010,B,"According to 14 CFR part 48, when would a small UAS owner not be permitted to register it?",The owner is less than 13 years of age.,All persons must register their small UAS.,If the owner does not have a valid United States driver's license.,,"All sUAS must be registered in the US, including those used for recreational purposes.",0
8011,A,"According to 14 CFR part 107, what is required to operate a small UA within 30 minutes after official sunset?",Use of anti-collision lights.,Must be operated in a rural area.,Use of a transponder.,,,0
8012,B,You are operating a 1280 g (2.8lb) quadcopter for your own enjoyment. Is this sUAS operation subject to 14 CFR part 107?,"Yes, this sUAS operation is subject to part 107","No, this sUAS operation is not subject to part 107","Yes, this sUAS is subject to part 107 unless the operator receives a waiver",,"14 CFR part 107 does not apply to the following items or operations of model aircraft that meet the criteria in_14 CFR part 101.41, as well as model rockets, kites, and other exemptions.",0
8013,B,You have accepted football tickets in exchange for using your sUAS to videotape the field before and after the game. Is this sUAS operation subject to 14 CFR part 107?,"Yes, this sUAS operation is subject to part 107","No, this sUAS operation is not subject to part 107","Yes, this sUAS is subject to part 107 unless the operator receives a waiver",,,0
8014,A,You plan to operate a 33lb sUAS to capture aerial imagery over real estate for use in sales listings. Is this sUAS operation subject to 14 CFR part 107?,Yes,No,Only if the flight is in controlled airspace,,,0
8015,C,Whose sole task during an sUAS operation is to watch the sUAS and report potential hazards to the rest of the crew?,Remote PIC,Person manipulating the controls,Visual observer,,,0
8016,A,Which crewmember must hold a remote pilot certificate with an sUAS rating?,Remote PIC,Person manipulating the controls,Visual observer,,,0
8017,B,Which crewmember is required to be under the direct supervision of the Remote PIC when operating an sUAS?,Remote PIC,Person manipulating the controls,Visual observer,,,0
8018,B,When can a drone be operated above 400 feet above ground level?,After the remote PIC determines there are no potential hazards in the vicinity.,When flying withing 400 feet of a tower or building,Flying above 400 feet is never allowed.,,,0
8019,C,Which of the following sources of information should you consult first when determining what maintenance should be performed on an sUAS or its components?,Local pilot best practices,14 CFR part 107,Manufacturer guidance,,"Manufacturers may recommend a maintenance or replacement schedule for the unmanned aircraft and system components based on time-in-service limits and other factors. Follow all manufacturer maintenance recommendations to achieve the longest and safest service life of the sUAS. If the sUAS or component manufacturer does not provide scheduled maintenance instructions, it is recommended that you establish your own scheduled maintenance protocol._",0
8020,C,How often is the Remote PIC required to inspect the sUAS to ensure that it is in a condition for safe operation?,Annually,Monthly,Before each flight,,"Before beginning any sUAS flight operation, the remote PIC must assess the operating environment, inform any supporting crewmembers about the operation and their roles, inspect the sUAS to ensure that it is in a condition for safe operation, and maintain documents required in the event of an on-site FAA inspection",0
8021,C,During your preflight inspection you determine that your UAS requires some unscheduled maintenance. What should you do?,Fly the planned mission as possible as UAS systems are inherently safe,Fly the mission until you notice any annomolies in the flight characteristics of the UAS,Repair the UAS before continuing the mission,,"Do not conduct flight operations until the discrepancy is corrected based on in accordance with the manufacturers instructions or, in lieu of that, within known industry best practices.",0
